ID,subjectID,name,shift,weekday,week,semester,students
D01001_1_2023_1,'D01001,Bơi lội,3,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501043_1_2023_1,'501043,Cấu trúc dữ liệu và giải thuật 1,3,7,-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501043TH_1_2023_1,'501043TH,Thực hành cấu trúc dữ liệu và giải thuật 1,4,5,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501032_1_2023_1,'501032,Đại số tuyến tính cho Công nghệ thông tin,2,2,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501032TH_1_2023_1,'501032TH,Thực hành đại số tuyến tính cho Công nghệ thông tin,3,2,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501031_1_2023_1,'501031,Giải tích ứng dụng cho Công nghệ thông tin,3,6,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
501031TH_1_2023_1,'501031TH,Thực hành giải tích ứng dụng cho Công nghệ thông tin,4,4,-1-2-3-4-5-6-7-8-9-10-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
D02030_1_2023_1,'D02030,Giáo dục quốc phòng - Học phần 3,2,3,-1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-26-27-28-29-30-31-32-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
L00001_1_2023_1,'L00001,Kỹ năng phát triển bền vững,1,5,-3-4-5-6-7-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
300014_1_2023_1,'300014,Phương pháp học đại học,2,5,-4-5-,hk1,-52302051--52302052--52302053--52302054--52302055--52302056--52302057--52302058--52302059--52302060--52302061--52302062--52302063--52302064--52302065--52302066--52302067--52302068--52302069--52302070--52302071--52302072--52302073--52302074--52302075--52302076--52302077--52302078--52302079--52302080--52302081--52302082--52302083--52302084--52302085--52302086--52302087--52302088--52302089--52302090--52302091--52302092--52302093--52302094--52302095--52302096--52302097--52302098--52302099--52302100-
