semester,num_week,start_date,end_date
hk1,1,2023-08-28,2023-09-03
hk1,2,2023-09-04,2023-09-10
hk1,3,2023-09-11,2023-09-17
hk1,4,2023-09-18,2023-09-24
hk1,5,2023-09-25,2023-10-01
hk1,6,2023-10-02,2023-10-08
hk1,7,2023-10-09,2023-10-15
hk1,8,2023-10-16,2023-10-22
hk1,9,2023-10-23,2023-10-29
hk1,10,2023-10-30,2023-11-05
hk1,11,2023-11-06,2023-11-12
hk1,12,2023-11-13,2023-11-19
hk1,13,2023-11-20,2023-11-26
hk1,14,2023-11-27,2023-12-03
hk1,15,2023-12-04,2023-12-10
hk1,16,2023-12-11,2023-12-17
hk1,17,2023-12-18,2023-12-24
hk1,18,2023-12-25,2023-12-31
hk1,19,2024-01-01,2024-01-07
hk1,20,2024-01-08,2024-01-14
hk2,21,2024-01-15,2024-01-21
hk2,22,2024-01-22,2024-01-28
hk2,23,2024-01-29,2024-02-04
hk2,24,2024-02-05,2024-02-11
hk2,25,2024-02-12,2024-02-18
hk2,26,2024-02-19,2024-02-25
hk2,27,2024-02-26,2024-03-03
hk2,28,2024-03-04,2024-03-10
hk2,29,2024-03-11,2024-03-17
hk2,30,2024-03-18,2024-03-24
hk2,31,2024-03-25,2024-03-31
hk2,32,2024-04-01,2024-04-07
hk2,33,2024-04-08,2024-04-14
hk2,34,2024-04-15,2024-04-21
hk2,35,2024-04-22,2024-04-28
hk2,36,2024-04-29,2024-05-05
hk2,37,2024-05-06,2024-05-12
hk2,38,2024-05-13,2024-05-19
hk2,39,2024-05-20,2024-05-26
hk2,40,2024-05-27,2024-06-02
hk2,41,2024-06-03,2024-06-09
hk2,42,2024-06-10,2024-06-16
